country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
Cameroon,2021-01-09,571,81,78.14285714285714,3.795066413662229
Cameroon,2021-01-10,571,81,81.0,3.656307129798919
Cameroon,2021-01-11,0,0,69.42857142857143,-14.28571428571428
Cameroon,2021-01-12,0,0,57.857142857142854,-16.666666666666675
Cameroon,2021-01-13,0,0,46.285714285714285,-19.999999999999996
Cameroon,2021-01-14,0,0,34.714285714285715,-25.0
Cameroon,2021-01-15,0,0,23.142857142857142,-33.333333333333336
Cameroon,2021-01-16,0,0,11.571428571428571,-50.0
Cameroon,2021-01-17,0,0,0.0,-100.0
Cameroon,2021-01-18,1162,166,23.714285714285715,0.0
Cameroon,2021-01-19,1162,166,47.42857142857143,100.0
Cameroon,2021-01-20,1162,166,71.14285714285714,49.99999999999998
Cameroon,2021-01-21,1162,166,94.85714285714286,33.33333333333335
Cameroon,2021-01-22,1162,166,118.57142857142857,25.0
Cameroon,2021-01-23,1162,166,142.28571428571428,19.999999999999996
Cameroon,2021-01-24,1162,166,166.0,16.666666666666675
El_Salvador,2020-03-23,3,0,0.0,0.0
El_Salvador,2020-03-24,3,0,0.0,0.0
El_Salvador,2020-03-25,3,0,0.0,0.0
El_Salvador,2020-03-26,3,0,0.0,0.0
El_Salvador,2020-03-27,3,0,0.0,0.0
El_Salvador,2020-03-28,3,0,0.0,0.0
El_Salvador,2020-03-29,3,0,0.0,0.0
El_Salvador,2020-03-30,27,3,0.42857142857142855,0.0
El_Salvador,2020-03-31,27,3,0.8571428571428571,100.0
El_Salvador,2020-04-01,27,3,1.2857142857142858,50.00000000000002
El_Salvador,2020-04-02,27,3,1.7142857142857142,33.33333333333333
El_Salvador,2020-04-03,27,3,2.142857142857143,25.0
El_Salvador,2020-04-04,27,3,2.5714285714285716,20.000000000000018
El_Salvador,2020-04-05,27,3,3.0,16.66666666666665
El_Salvador,2020-04-06,39,5,3.2857142857142856,9.523809523809511
El_Salvador,2020-04-07,39,5,3.5714285714285716,8.69565217391306
El_Salvador,2020-04-08,39,5,3.857142857142857,8.000000000000007
El_Salvador,2020-04-09,39,5,4.142857142857143,7.407407407407418
El_Salvador,2020-04-10,39,5,4.428571428571429,6.896551724137923
El_Salvador,2020-04-11,39,5,4.714285714285714,6.451612903225801
El_Salvador,2020-04-12,39,5,5.0,6.060606060606055
El_Salvador,2020-04-13,56,8,5.428571428571429,8.571428571428585
El_Salvador,2020-04-14,56,8,5.857142857142857,7.894736842105243
El_Salvador,2020-04-15,56,8,6.285714285714286,7.317073170731714
El_Salvador,2020-04-16,56,8,6.714285714285714,6.818181818181812
El_Salvador,2020-04-17,56,8,7.142857142857143,6.382978723404253
El_Salvador,2020-04-18,56,8,7.571428571428571,5.999999999999983
El_Salvador,2020-04-19,56,8,8.0,5.660377358490565
El_Salvador,2020-04-20,76,10,8.285714285714286,3.571428571428581
El_Salvador,2020-04-21,76,10,8.571428571428571,3.44827586206895
El_Salvador,2020-04-22,76,10,8.857142857142858,3.3333333333333437
El_Salvador,2020-04-23,76,10,9.142857142857142,3.2258064516129004
El_Salvador,2020-04-24,76,10,9.428571428571429,3.125
El_Salvador,2020-04-25,76,10,9.714285714285714,3.0303030303030276
El_Salvador,2020-04-26,76,10,10.0,2.941176470588247
El_Salvador,2020-04-27,97,13,10.428571428571429,4.285714285714293
El_Salvador,2020-04-28,97,13,10.857142857142858,4.109589041095885
El_Salvador,2020-04-29,97,13,11.285714285714286,3.9473684210526327
El_Salvador,2020-04-30,97,13,11.714285714285714,3.7974683544303556
El_Salvador,2020-05-01,97,13,12.142857142857142,3.658536585365857
El_Salvador,2020-05-02,97,13,12.571428571428571,3.529411764705892
El_Salvador,2020-05-03,97,13,13.0,3.409090909090917
El_Salvador,2020-05-04,257,36,16.285714285714285,25.274725274725274
El_Salvador,2020-05-05,257,36,19.571428571428573,20.175438596491247
El_Salvador,2020-05-06,257,36,22.857142857142858,16.788321167883204
El_Salvador,2020-05-07,257,36,26.142857142857142,14.375000000000004
El_Salvador,2020-05-08,257,36,29.428571428571427,12.568306010928953
El_Salvador,2020-05-09,257,36,32.714285714285715,11.165048543689338
El_Salvador,2020-05-10,257,36,36.0,10.043668122270732
El_Salvador,2020-05-11,403,57,39.0,8.333333333333325
El_Salvador,2020-05-12,403,57,42.0,7.692307692307687
El_Salvador,2020-05-13,403,57,45.0,7.14285714285714
El_Salvador,2020-05-14,403,57,48.0,6.666666666666665
El_Salvador,2020-05-15,403,57,51.0,6.25
El_Salvador,2020-05-16,403,57,54.0,5.882352941176472
El_Salvador,2020-05-17,403,57,57.0,5.555555555555558
El_Salvador,2020-05-18,380,54,56.57142857142857,-0.7518796992481258
El_Salvador,2020-05-19,380,54,56.142857142857146,-0.7575757575757458
El_Salvador,2020-05-20,380,54,55.714285714285715,-0.7633587786259555
El_Salvador,2020-05-21,380,54,55.285714285714285,-0.7692307692307776
El_Salvador,2020-05-22,380,54,54.857142857142854,-0.7751937984496138
El_Salvador,2020-05-23,380,54,54.42857142857143,-0.7812499999999889
El_Salvador,2020-05-24,380,54,54.0,-0.7874015748031482
El_Salvador,2020-05-25,577,82,58.0,7.407407407407418
El_Salvador,2020-05-26,577,82,62.0,6.896551724137923
El_Salvador,2020-05-27,577,82,66.0,6.451612903225801
El_Salvador,2020-05-28,577,82,70.0,6.060606060606055
El_Salvador,2020-05-29,577,82,74.0,5.714285714285716
El_Salvador,2020-05-30,577,82,78.0,5.405405405405395
El_Salvador,2020-05-31,577,82,82.0,5.128205128205132
El_Salvador,2020-06-01,602,86,82.57142857142857,0.6968641114982521
El_Salvador,2020-06-02,602,86,83.14285714285714,0.6920415224913379
El_Salvador,2020-06-03,602,86,83.71428571428571,0.6872852233676952
El_Salvador,2020-06-04,602,86,84.28571428571429,0.6825938566553003
El_Salvador,2020-06-05,602,86,84.85714285714286,0.6779661016949046
El_Salvador,2020-06-06,602,86,85.42857142857143,0.6734006734006703
El_Salvador,2020-06-07,602,86,86.0,0.6688963210702337
El_Salvador,2020-06-08,498,71,83.85714285714286,-2.491694352159468
El_Salvador,2020-06-09,498,71,81.71428571428571,-2.55536626916526
El_Salvador,2020-06-10,498,71,79.57142857142857,-2.622377622377614
El_Salvador,2020-06-11,498,71,77.42857142857143,-2.6929982046678624
El_Salvador,2020-06-12,498,71,75.28571428571429,-2.7675276752767486
El_Salvador,2020-06-13,498,71,73.14285714285714,-2.8462998102466885
El_Salvador,2020-06-14,498,71,71.0,-2.9296875
