country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area9,2020-02-02,35,2,-5.714285714285714,17.647058823529417,10
area4,2020-02-03,34,-13,-6.714285714285714,123.80952380952381,1
area13,2020-02-03,34,-15,-5.571428571428571,85.7142857142857,2
area15,2020-02-03,29,-22,-8.857142857142858,82.35294117647061,3
area8,2020-02-03,31,-14,-4.428571428571429,82.35294117647061,3
area12,2020-02-03,42,-24,-6.571428571428571,53.33333333333332,5
area14,2020-02-03,33,-9,-5.857142857142857,46.428571428571416,6
area2,2020-02-03,28,-19,-6.428571428571429,25.0,7
area11,2020-02-03,32,-6,-5.571428571428571,18.181818181818166,8
area9,2020-02-03,21,-14,-6.714285714285714,17.500000000000004,9
area5,2020-02-03,32,1,-4.285714285714286,15.384615384615374,10
area7,2020-02-04,25,-8,-6.857142857142857,166.66666666666666,1
area10,2020-02-04,14,-18,-8.285714285714286,75.75757575757578,2
area5,2020-02-04,20,-12,-7.428571428571429,73.33333333333334,3
area3,2020-02-04,38,-3,-10.285714285714286,71.42857142857144,4
area6,2020-02-04,12,-20,-7.428571428571429,36.8421052631579,5
area14,2020-02-04,26,-7,-7.857142857142857,34.14634146341464,6
area8,2020-02-04,22,-9,-5.857142857142857,32.258064516129025,7
area11,2020-02-04,25,-7,-6.857142857142857,23.076923076923084,8
area1,2020-02-04,19,-9,-6.0,10.526315789473673,9
area12,2020-02-04,33,-9,-7.0,6.521739130434789,10
area0,2020-02-05,25,-19,-8.857142857142858,113.79310344827584,1
area13,2020-02-05,21,-15,-6.428571428571429,45.16129032258065,2
area9,2020-02-05,16,-8,-6.0,40.000000000000014,3
area4,2020-02-05,8,-18,-9.0,34.04255319148937,4
area2,2020-02-05,23,-3,-6.571428571428571,27.777777777777768,5
area15,2020-02-05,26,-12,-8.142857142857142,21.276595744680836,6
area14,2020-02-05,14,-12,-8.285714285714286,5.4545454545454675,7
area8,2020-02-05,21,-1,-5.857142857142857,0.0,8
area12,2020-02-05,26,-7,-7.0,0.0,8
area1,2020-02-05,19,0,-5.857142857142857,-2.3809523809523836,10
area11,2020-02-06,14,-12,-7.571428571428571,43.24324324324324,1
area15,2020-02-06,18,-8,-10.571428571428571,29.824561403508774,2
area13,2020-02-06,13,-8,-8.142857142857142,26.66666666666666,3
area8,2020-02-06,13,-8,-6.714285714285714,14.634146341463428,4
area3,2020-02-06,12,-12,-8.714285714285714,3.3898305084745672,5
area1,2020-02-06,22,3,-6.0,2.4390243902439046,6
area12,2020-02-06,22,-4,-7.0,0.0,7
area14,2020-02-06,17,3,-7.857142857142857,-5.172413793103459,8
area7,2020-02-06,16,-5,-4.714285714285714,-5.714285714285716,9
area0,2020-02-06,13,-12,-8.142857142857142,-8.064516129032274,10
area7,2020-02-07,13,-3,-7.428571428571429,57.57575757575757,1
area12,2020-02-07,12,-10,-10.0,42.85714285714286,2
area9,2020-02-07,6,-10,-6.142857142857143,30.303030303030297,3
area5,2020-02-07,8,-4,-5.0,20.68965517241379,4
